element,level,t,r,theta,phi,pred spherical_coordinates_N1675k.csv
17536,15,0.18992093640295016,0.06099353932470754,0.43197253667642527,1.6756567420620914,[12580 12714]
19368,15,0.19469433430211092,0.0632988970382729,0.6884343318826084,1.9353546616550734,[14071 17014]
20627,15,0.19768094040779127,0.07762975963845085,0.45119345558172996,1.6747250591042695,[12580 12714]
24794,16,0.20686585628474952,0.07424927979967995,0.46719028137251567,1.7451206737804978,[17536 20627]
25139,16,0.20755672995723362,0.06917131722757101,0.5101189879382089,1.9620438448762272,[19368]
26601,16,0.21055256265640376,0.08084957641899837,0.3666485032222288,1.7886780498731534,[20627]
34305,17,0.22443356969773443,0.07612258805111188,0.35892410902264876,1.9124409073888107,[24794 25139 26601]
35242,17,0.22601257113094253,0.07250089901873324,0.5684558590732676,2.168663361188312,[25139]
36659,17,0.22821592670302848,0.07090051840686655,0.2554195901449339,2.1017061520449145,[25139]
44467,18,0.23955606728309375,0.07329270205084938,0.4499540629027955,2.208517274603504,[35242]
46314,18,0.24214241957332516,0.07729720866544462,0.3463363488564451,2.050604252574225,[34305 36659]
54386,19,0.252206944875781,0.07546673529204047,0.4325879908473116,2.144644616776724,[44467 46314]
56410,19,0.25452794788790467,0.07433571480450729,0.4294353346105959,2.1726974695732686,[44467 46314]
63636,20,0.26220841899384073,0.07089916304325602,0.5047021059374527,2.1488641464322717,[54386 56410]
69964,21,0.26859321517011514,0.06863842986657871,0.44177270250167716,2.165437881763915,[63636]
80838,22,0.27849178637731453,0.06398572515705335,0.34201962223268534,2.1337268290110716,[69964]
91487,23,0.2873094418913972,0.06467712626578177,0.2528543283166483,2.233786119979775,[80838]
99432,23,0.2934352330437108,0.06133336439117887,0.07667817022660695,2.2002428354519226,[80838]
94960,24,0.29003080607165266,0.06598350596935655,0.26019301222012636,2.1996128082016537,[91487]
114001,24,0.30373786355552224,0.06342549757863954,-0.0005750308850913796,2.228777687788845,[91487 99432]
118655,24,0.3067996745171262,0.059626951721419665,-0.07220490066468958,2.081866831323379,[99432]
159702,25,0.33035622048928337,0.0748094585813421,-0.24429724927351879,2.031435495617929,[ 94960 114001 118655]
166044,26,0.3335898956859217,0.07412455865497658,-0.26116877696259594,2.032504482775579,[159702]
181691,27,0.3410471951253383,0.07050755051862519,-0.17463847468353097,2.062101404730599,[166044]
217375,28,0.35670242145218956,0.07640501231774005,-0.18581813615002576,1.8792741069867076,[181691]
238575,29,0.3651182327001856,0.08059169347754054,-0.15187483807215568,1.808963881057741,[217375]
239520,29,0.3654975036323944,0.07786268261717415,-0.23387558359248586,1.9394944965728105,[217375]
282410,30,0.38093655332953125,0.08268833562281093,-0.3099195546442876,1.7904141075583049,[238575 239520]
309840,31,0.3898469932861115,0.07989237590402862,-0.32521523559212806,1.7356195235731828,[282410]
353696,32,0.4030968523471806,0.08044708494725229,-0.4349379759653657,1.6779647658428707,[309840]
411208,33,0.4185109702471652,0.08461579551683815,-0.5153742888646327,1.7503001753648428,[353696]
434311,34,0.42429492498469,0.0800326896130516,-0.5028981367117079,1.7313797090148084,[411208]
475764,35,0.43404152453885725,0.07761164915615405,-0.44219831879543225,1.7725301698498046,[434311]
540326,36,0.4480729649064743,0.06658220707107393,-0.5340151715341704,1.8460295184611122,[475764]
580894,37,0.4562508261338908,0.0630712901031421,-0.43016749992630804,1.797725743889371,[540326]
630527,38,0.4657165265239984,0.06323756953208848,-0.5041134683348554,1.7397050730682244,[580894]
656081,38,0.4703845429025171,0.0698708641249662,-0.45787687114567155,1.8884738373129155,[580894]
684968,39,0.4754689096748054,0.059887723048938246,-0.43864317293079835,1.6448350250356734,[630527]
725481,39,0.48237073202417535,0.06205274467706482,-0.5218851259035195,1.8962365505953223,[630527 656081]
751090,39,0.4865799148365745,0.06567680184416695,-0.6077738554967429,1.695795230610391,[630527]
774718,40,0.49035064259431094,0.0700175132118652,-0.5429717271229576,1.728507309438107,[684968]
786536,40,0.49218923175662865,0.07243287278614544,-0.420179137234397,1.7112352550402712,[684968]
